govern,school_id,common_name,year,total,total_hs,g09,g10,g11,g12
regular,609764,Juarez HS,2006,1690,1690,556,437,373,324
regular,609738,Lincoln Park HS,2006,2249,2249,659,570,518,502
regular,609722,Manley HS,2006,962,962,324,322,189,127
regular,609723,Marshall HS,2006,1157,1157,256,460,335,106
regular,609680,Payton CPHS,2006,835,835,218,295,177,145
regular,610304,Phoenix Mil Acad HS,2006,173,173,57,55,29,32
regular,609750,Simpson HS,2006,202,180,54,61,40,25
regular,609740,Wells HS,2006,1112,1112,404,309,236,163
regular,610376,Westinghouse AA HS,2006,163,163,37,126,NA,NA
regular,609693,Westinghouse HS,2006,455,455,NA,7,204,244
regular,609755,Young Magnet HS,2006,2119,1901,492,467,564,378
regular,609754,Chicago Mil Acad HS,2006,487,487,128,124,125,110
regular,609756,Curie HS,2006,3062,3062,1005,781,662,614
regular,609676,Dunbar Voc HS,2006,1627,1627,424,649,314,240
regular,609704,Farragut HS,2006,2429,2389,672,712,532,473
regular,609769,"Graham, R. Trng CTR",2006,186,186,122,20,21,23
regular,609715,Kelly HS,2006,3155,3155,1136,865,679,475
regular,609751,King CPHS,2006,885,885,193,246,248,198
regular,609727,Phillips HS,2006,830,830,296,237,172,125
regular,609682,Richards HS,2006,474,474,206,104,95,69
regular,610357,Spry Comm Links HS,2006,93,93,32,33,28,NA
regular,610375,Tilden AA HS,2006,250,250,158,92,NA,NA
regular,609735,Tilden HS,2006,1429,1429,635,477,195,122
regular,609748,York Alt HS,2006,354,354,166,103,55,30
regular,609698,Bogan Tech HS,2006,2119,2119,630,657,512,320
regular,609701,Calumet HS,2006,499,499,NA,NA,376,123
regular,609736,Dyett HS,2006,563,509,238,155,50,66
regular,609743,Englewood AA HS,2006,212,212,119,93,NA,NA
regular,609742,Englewood HS,2006,637,637,NA,343,182,112
regular,609709,Gage Park HS,2006,1501,1501,428,351,430,292
regular,609694,Hancock HS,2006,815,815,215,177,262,161
regular,609711,Harper HS,2006,1261,1261,469,351,281,160
regular,609712,Hirsch HS,2006,898,898,461,287,127,23
regular,609768,Hope CPHS,2006,989,869,364,162,200,143
regular,609741,Hubbard HS,2006,1672,1672,482,422,384,384
regular,609713,Hyde Park HS,2006,1997,1997,807,558,345,287
regular,610371,IDOC/Healy South HS,2006,89,89,58,22,8,1
regular,609718,Kennedy HS,2006,1682,1682,550,496,294,342
regular,609746,Kenwood HS,2006,1634,1523,471,376,384,292
regular,609721,Lindblom CPHS,2006,53,53,NA,NA,NA,53
regular,610391,Lindblom MSHS,2006,114,114,114,NA,NA,NA
regular,610374,Robeson AA HS,2006,249,249,155,94,NA,NA
regular,609707,Robeson HS,2006,1258,1258,626,299,219,114
regular,609692,Simeon HS,2006,1638,1638,473,456,406,303
regular,609745,Southside Occp HS,2006,232,232,88,93,6,45
regular,609726,Brooks CPHS,2006,781,781,202,176,203,200
regular,609760,Carver Mil Acad HS,2006,624,624,167,178,156,123
regular,609675,Chgo Voc AA HS,2006,345,345,173,172,NA,NA
regular,609753,Chicago Agr Sci HS,2006,592,592,163,152,159,118
regular,609674,Chicago Voc HS,2006,2030,2030,581,575,537,337
regular,609761,Corliss HS,2006,1427,1427,627,398,225,177
regular,609705,Fenger  HS,2006,1126,1126,341,309,267,209
regular,609706,Fenger AA HS,2006,208,81,81,NA,NA,NA
regular,609710,Harlan HS,2006,1381,1298,567,317,238,176
regular,609762,Julian HS,2006,1951,1951,598,493,464,396
regular,609765,Las Casas HS,2006,93,93,30,21,15,27
regular,609725,Morgan Park HS,2006,2252,2084,668,559,447,410
regular,609739,"Washington, G. HS",2006,1529,1529,486,431,294,318
regular,610303,AASTA - Orr HS,2006,495,495,260,120,69,46
regular,610307,BEST HS,2006,331,331,141,82,57,51
regular,610337,Big Pict HS - Metro,2006,84,84,27,30,27,NA
regular,610301,Big Pict HS - Yards,2006,77,77,22,29,25,1
regular,609699,Bowen HS,2006,77,77,NA,7,13,57
regular,610381,Bronzeville HS,2006,126,126,126,NA,NA,NA
regular,610340,Chicago Acad HS,2006,251,251,142,109,NA,NA
regular,610309,Chicago Discovery HS,2006,382,382,132,98,91,61
regular,609703,DuSable HS,2006,86,86,NA,1,7,78
regular,610311,Entrepreneurshp HS,2006,448,448,144,130,94,80
regular,610302,EXCEL - Orr HS,2006,443,443,263,99,49,32
regular,610324,Global Visions HS,2006,306,306,127,86,93,NA
regular,610384,Infinity HS,2006,100,100,100,NA,NA,NA
regular,610385,Multicultural Arts HS,2006,100,100,100,NA,NA,NA
regular,610323,New Millnm HS,2006,254,254,145,109,NA,NA
regular,610334,Raby HS,2006,262,262,139,123,NA,NA
regular,610297,Sch Of Leadrshp HS,2006,398,398,172,99,72,55
regular,610383,Sch Of Soc Just HS,2006,100,100,100,NA,NA,NA
regular,610296,Sch Of Tech HS,2006,391,391,136,137,118,NA
regular,610310,Sch Of The Arts HS,2006,498,498,150,141,118,89
regular,610322,Vines Prep HS,2006,473,473,244,113,86,30
regular,610392,World Language HS,2006,104,104,104,NA,NA,NA
regular,609683,Alt Learning Commnty HS,2006,271,190,94,46,30,20
regular,610386,Dugan Alt HS,2006,82,82,19,15,25,23
regular,610388,LINC Alt HS,2006,399,399,89,137,105,68
charter,400010,ACE Tech Chtr HS,2006,272,272,149,123,NA,NA
charter,400008,ACT Chtr HS,2006,321,188,50,45,38,55
charter,400015,ASPIRA Chrtr - Ramirez,2006,863,341,125,97,119,NA
charter,400025,Chgo Intl Chrt - Bucktown,2006,5452,897,290,253,228,126
charter,400035,Chgo Math/Sci Chtr,2006,304,77,77,NA,NA,NA
charter,400051,Noble St. Chrtr HS,2006,480,480,159,139,88,94
charter,400058,North Lawndale Chrtr,2006,389,389,120,108,72,89
charter,400064,Perspectives Chrtr H,2006,322,186,54,54,54,24
charter,400072,Shabazz Charter,2006,552,116,116,NA,NA,NA
charter,400087,Yng Women Ldrshp Chrt,2006,333,236,74,73,46,43
charter,609686,Youth Connctns Chrtr,2006,2507,2507,441,680,575,811
regular,609695,Amundsen HS,2007,1493,1493,469,387,348,289
regular,610402,DeVry Advantage HS,2007,204,204,NA,NA,105,99
regular,609708,Foreman HS,2007,1976,1976,710,514,431,321
regular,609716,Kelvyn Park HS,2007,1549,1549,486,417,339,307
regular,609719,Lake View HS,2007,1494,1494,525,439,287,243
regular,609720,Lane Tech HS,2007,4248,4248,1127,1081,903,1137
regular,609738,Lincoln Park HS,2007,2192,2192,622,602,514,454
regular,609724,Mather HS,2007,1857,1857,529,501,472,355
regular,609691,North-Grand HS,2007,702,702,220,268,214,NA
regular,609749,Northside CPHS,2007,1075,1075,248,264,295,268
regular,609744,Northside Lrn Ctr HS,2007,270,270,47,68,58,97
regular,609679,Prosser HS,2007,1383,1383,367,375,348,293
regular,610390,Rickover Naval HS,2007,218,218,110,108,NA,NA
regular,609728,Roosevelt HS,2007,1628,1628,567,462,341,258
regular,609729,Schurz HS,2007,2278,2278,1073,498,307,400
regular,610377,Senn AA HS,2007,134,134,92,42,NA,NA
regular,609730,Senn HS,2007,1372,1372,391,336,339,306
regular,609732,Steinmetz HS,2007,2055,2055,751,478,436,390
regular,609733,Sullivan HS,2007,966,966,303,287,289,87
regular,609734,Taft HS,2007,2646,2491,779,720,548,444
regular,610394,Uplift Community HS,2007,433,246,140,106,NA,NA
regular,609766,Vaughn Occp HS,2007,228,228,49,47,41,91
regular,609737,Von Steuben HS,2007,1479,1479,502,345,367,265
regular,400018,Austin Bus & Entrp HS,2007,217,217,217,NA,NA,NA
regular,609696,Austin HS,2007,254,254,NA,NA,NA,254
regular,610370,Best Practice HS,2007,369,369,99,121,69,80
regular,610244,Clark Magnet HS,2007,1072,897,228,257,231,181
regular,610401,Clemente AA HS,2007,385,385,241,144,NA,NA
regular,609759,Clemente HS,2007,2180,2180,736,590,517,337
regular,609763,Collins HS,2007,558,558,NA,209,204,145
regular,610378,Crane AA HS,2007,413,413,247,166,NA,NA
regular,609702,Crane Tech HS,2007,1038,1019,336,277,242,164
regular,610245,Douglass HS,2007,642,482,199,151,91,41
regular,609783,"Jefferson, N",2007,450,380,227,122,28,3
regular,609678,Jones CPHS,2007,807,807,183,161,230,233
regular,609764,Juarez HS,2007,1565,1565,536,428,322,279
regular,609722,Manley HS,2007,1084,1084,351,365,241,127
regular,609723,Marshall HS,2007,1135,1135,328,357,310,140
regular,609680,Payton CPHS,2007,837,837,165,212,268,192
regular,610304,Phoenix Mil Acad HS,2007,278,278,157,42,48,31
regular,609750,Simpson HS,2007,213,195,62,67,47,19
regular,609740,Wells HS,2007,1076,1076,356,291,241,188
regular,609693,Westinghouse HS,2007,160,160,NA,NA,NA,160
regular,609755,Young Magnet HS,2007,2207,1983,493,499,440,551
regular,609748,York Alt HS,2007,317,317,161,97,40,19
regular,609754,Chicago Mil Acad HS,2007,518,518,161,135,107,115
regular,609756,Curie HS,2007,3018,3018,946,914,910,248
regular,609676,Dunbar Voc HS,2007,1752,1752,673,414,395,270
regular,609736,Dyett HS,2007,554,554,277,148,55,74
regular,609743,Englewood AA HS,2007,250,250,142,108,NA,NA
regular,609742,Englewood HS,2007,446,446,NA,NA,307,139
regular,609704,Farragut HS,2007,2440,2402,781,579,527,515
regular,609709,Gage Park HS,2007,1752,1752,732,420,249,351
regular,609769,"Graham, R. Trng CTR",2007,188,188,115,33,20,20
regular,609694,Hancock HS,2007,873,873,229,246,170,228
regular,609711,Harper HS,2007,1301,1301,355,491,280,175
regular,609768,Hope CPHS,2007,1015,985,320,332,148,185
regular,609741,Hubbard HS,2007,1715,1715,548,446,363,358
regular,609713,Hyde Park HS,2007,2007,2007,740,542,487,238
regular,610371,IDOC/Healy South HS,2007,106,106,73,23,10,NA
regular,609715,Kelly HS,2007,3162,3162,1158,781,697,526
regular,609718,Kennedy HS,2007,1538,1538,523,478,336,201
regular,609746,Kenwood HS,2007,1709,1587,489,359,377,362
regular,609751,King CPHS,2007,923,923,249,198,239,237
regular,610391,Lindblom MSHS,2007,250,250,150,100,NA,NA
regular,609727,Phillips HS,2007,793,792,283,204,187,118
regular,609682,Richards HS,2007,564,564,278,133,78,75
regular,610357,Spry Comm Links HS,2007,101,101,37,32,32,NA
regular,610375,Tilden AA HS,2007,249,249,132,117,NA,NA
regular,609735,Tilden HS,2007,1245,1245,400,429,286,130
regular,609698,Bogan Tech HS,2007,2091,2091,649,558,520,364
regular,609726,Brooks CPHS,2007,777,777,205,196,172,204
regular,609701,Calumet HS,2007,186,186,NA,NA,NA,186
regular,609760,Carver Mil Acad HS,2007,536,536,136,156,103,141
regular,609675,Chgo Voc AA HS,2007,408,408,248,160,NA,NA
regular,609753,Chicago Agr Sci HS,2007,587,587,155,156,138,138
regular,609674,Chicago Voc HS,2007,2020,2020,667,454,529,370
regular,609761,Corliss HS,2007,1364,1364,534,364,298,168
regular,609705,Fenger  HS,2007,1119,1119,331,287,294,207
regular,609706,Fenger AA HS,2007,233,233,140,93,NA,NA
regular,609710,Harlan HS,2007,1388,1298,501,284,294,219
regular,609712,Hirsch HS,2007,1025,1025,478,356,135,56
regular,609762,Julian HS,2007,1943,1943,626,473,424,420
regular,609765,Las Casas HS,2007,110,110,39,22,28,21
regular,609725,Morgan Park HS,2007,2084,1928,556,536,453,383
regular,610374,Robeson AA HS,2007,227,227,107,120,NA,NA
regular,609707,Robeson HS,2007,1282,1282,558,408,162,154
regular,609692,Simeon HS,2007,1570,1570,324,459,417,370
regular,609745,Southside Occp HS,2007,235,235,44,89,26,76
regular,609739,"Washington, G. HS",2007,1599,1599,586,402,325,286
regular,610303,AASTA - Orr HS,2007,506,506,215,157,76,58
regular,610307,BEST HS,2007,346,346,127,106,47,66
regular,610337,Big Pict HS - Metro,2007,67,67,NA,23,21,23
regular,610301,Big Pict HS - Yards,2007,81,81,NA,28,29,24
regular,610381,Bronzeville HS,2007,239,239,122,117,NA,NA
regular,610340,Chicago Acad HS,2007,378,378,152,129,97,NA
regular,610309,Chicago Discovery HS,2007,406,406,150,105,79,72
regular,610311,Entrepreneurshp HS,2007,508,508,150,146,141,71
regular,610302,EXCEL - Orr HS,2007,480,480,211,145,79,45
regular,610324,Global Visions HS,2007,378,378,139,96,73,70
regular,610384,Infinity HS,2007,188,188,95,93,NA,NA
regular,610385,Multicultural Arts HS,2007,191,191,108,83,NA,NA
regular,610323,New Millnm HS,2007,342,342,130,120,92,NA
regular,610334,Raby HS,2007,409,409,152,127,130,NA
regular,610297,Sch Of Leadrshp HS,2007,386,386,151,118,74,43
regular,610383,Sch Of Soc Just HS,2007,192,192,99,93,NA,NA
regular,610296,Sch Of Tech HS,2007,453,453,115,127,114,97
regular,610310,Sch Of The Arts HS,2007,495,495,140,154,101,100
regular,610322,Vines Prep HS,2007,515,515,187,141,104,83
regular,610392,World Language HS,2007,184,184,89,95,NA,NA
regular,609683,Alternative Safe Schools HS,2007,250,176,90,53,20,13
regular,610388,LINC Alt HS,2007,276,276,61,82,70,63
regular,610386,Peace & Education Alt HS,2007,89,89,14,25,23,27
regular,400010,ACE Tech Chtr HS,2007,377,377,163,101,113,NA
charter,400008,ACT Chtr HS,2007,308,216,96,52,30,38
charter,400015,ASPIRA Chrtr - Ramirez,2007,349,349,101,89,77,82
charter,400032,Chgo Intl Chrt - Ellison,2007,158,158,158,NA,NA,NA
charter,400033,Chgo Intl Chrt - Longwood,2007,1465,375,135,122,59,59
charter,400034,Chgo Intl Chrt - Northtown,2007,702,702,255,150,150,147
charter,400035,Chgo Math/Sci Chtr,2007,374,143,89,54,NA,NA
charter,400051,Noble St. Chrtr HS,2007,468,468,152,127,116,73
charter,400054,Noble St. Chrtr HS - Prtizker,2007,145,145,145,NA,NA,NA
charter,400055,Noble St. Chrtr HS - Rauner,2007,146,146,146,NA,NA,NA
charter,400058,North Lawndale Chrtr,2007,401,401,114,109,103,75
charter,400061,Perspectives Chrtr - Calumet,2007,279,162,162,NA,NA,NA
charter,400064,Perspectives Chrtr HS,2007,349,202,53,54,51,44
charter,400073,Shabazz Chrtr - DuSable,2007,185,185,92,93,NA,NA
charter,400077,U Of Chicago Chtr HS,2007,159,109,109,NA,NA,NA
charter,400086,Urban Prep Chtr HS,2007,166,166,166,NA,NA,NA
charter,400087,Yng Women Ldrshp Chrt,2007,343,244,76,68,61,39
charter,609686,Youth Connctns Chrtr,2007,2818,2818,533,768,612,905
regular,609695,Amundsen HS,2008,1611,1611,573,507,220,311
regular,610402,DeVry Advantage HS,2008,185,185,NA,NA,82,103
regular,609708,Foreman HS,2008,1948,1948,751,474,411,312
regular,609716,Kelvyn Park HS,2008,1559,1559,496,370,357,336
regular,609719,Lake View HS,2008,1644,1644,538,464,383,259
regular,609720,Lane Tech HS,2008,4088,4088,1131,1069,1022,866
regular,609738,Lincoln Park HS,2008,2215,2215,634,573,546,462
regular,609724,Mather HS,2008,1800,1800,488,446,462,404
regular,609691,North-Grand HS,2008,907,907,225,239,227,216
regular,609749,Northside CPHS,2008,1112,1112,309,245,258,300
regular,609744,Northside Lrn Ctr HS,2008,285,285,56,59,56,114
regular,609679,Prosser HS,2008,1413,1413,364,369,347,333
regular,609728,Roosevelt HS,2008,1595,1595,513,472,338,272
regular,609729,Schurz HS,2008,2034,2034,631,707,348,348
regular,610377,Senn AA HS,2008,113,113,35,78,NA,NA
regular,609730,Senn HS,2008,1190,1190,264,359,308,259
regular,609732,Steinmetz HS,2008,1947,1947,693,502,351,401
regular,609733,Sullivan HS,2008,884,884,283,223,205,173
regular,609734,Taft HS,2008,2596,2418,720,814,562,322
regular,610394,Uplift Community HS,2008,556,409,167,140,102,NA
regular,609766,Vaughn Occp HS,2008,223,223,48,48,44,83
regular,609737,Von Steuben HS,2008,1586,1586,576,397,285,328
regular,610501,Austin Polytech HS,2008,129,129,129,NA,NA,NA
regular,610370,Best Practice HS,2008,289,289,69,95,72,53
regular,610244,Clark Magnet HS,2008,964,812,208,190,217,197
regular,610401,Clemente AA HS,2008,325,325,131,194,NA,NA
regular,609759,Clemente HS,2008,2183,2183,645,544,555,439
regular,610499,Collins Acad HS,2008,133,133,133,NA,NA,NA
regular,609763,Collins HS,2008,373,373,NA,NA,181,192
regular,610378,Crane AA HS,2008,377,377,155,222,NA,NA
regular,609702,Crane Tech HS,2008,981,970,209,298,255,208
regular,610245,Douglass HS,2008,561,561,164,160,158,79
regular,609783,"Jefferson, N",2008,357,314,193,82,28,11
regular,609678,Jones CPHS,2008,707,707,192,165,150,200
regular,609764,Juarez HS,2008,1547,1547,521,407,350,269
regular,609722,Manley HS,2008,1221,1221,396,424,211,190
regular,609723,Marshall HS,2008,1270,1270,349,367,266,288
regular,609680,Payton CPHS,2008,890,890,259,163,209,259
regular,609750,Simpson HS,2008,238,224,59,84,71,10
regular,609740,Wells HS,2008,919,919,221,280,230,188
regular,609755,Young Magnet HS,2008,2185,1958,546,496,485,431
regular,610357,Spry Comm Links HS,2008,95,95,27,36,32,NA
regular,609756,Curie HS,2008,3252,3252,1069,828,725,630
regular,609676,Dunbar Voc HS,2008,1575,1575,417,502,324,332
regular,609736,Dyett HS,2008,598,598,269,154,107,68
regular,609742,Englewood HS,2008,161,161,NA,NA,NA,161
regular,609704,Farragut HS,2008,2114,2078,591,571,480,436
regular,609709,Gage Park HS,2008,1591,1591,567,485,303,236
regular,609769,"Graham, R. Trng CTR",2008,172,172,89,36,26,21
regular,609694,Hancock HS,2008,913,913,283,250,232,148
regular,609711,Harper HS,2008,1258,1258,468,376,276,138
regular,609768,Hope CPHS,2008,1056,1056,285,321,302,148
regular,609741,Hubbard HS,2008,1702,1702,472,521,393,316
regular,609713,Hyde Park HS,2008,2313,2313,617,719,526,451
regular,609715,Kelly HS,2008,3195,3195,1184,782,700,529
regular,609718,Kennedy HS,2008,1637,1637,536,445,334,322
regular,609746,Kenwood HS,2008,1578,1452,395,385,309,363
regular,609751,King CPHS,2008,899,899,218,248,223,210
regular,610391,Lindblom MSHS,2008,484,484,260,128,96,NA
regular,609743,Phillips AA HS,2008,196,195,59,136,NA,NA
regular,609727,Phillips HS,2008,800,800,216,239,215,130
regular,609682,Richards HS,2008,594,594,199,220,111,64
regular,610375,Tilden AA HS,2008,246,246,129,117,NA,NA
regular,609735,Tilden HS,2008,1332,1332,446,330,309,247
regular,609698,Bogan Tech HS,2008,2002,2002,466,592,501,443
regular,609726,Brooks CPHS,2008,729,729,200,194,172,163
regular,609753,Chicago Agr Sci HS,2008,583,583,176,141,130,136
regular,609675,Chgo Voc AA HS,2008,298,272,97,175,NA,NA
regular,609674,Chicago Voc HS,2008,1874,1874,544,483,458,389
regular,609761,Corliss HS,2008,1249,1249,314,374,317,244
regular,609706,Fenger AA HS,2008,172,172,65,107,NA,NA
regular,609705,Fenger  HS,2008,1189,1189,321,322,308,238
regular,609710,Harlan HS,2008,1415,1340,379,310,390,261
regular,609712,Hirsch HS,2008,974,974,377,275,167,155
regular,609762,Julian HS,2008,1646,1646,499,471,332,344
regular,609765,Las Casas HS,2008,136,136,42,41,19,34
regular,609725,Morgan Park HS,2008,1920,1795,467,463,450,415
regular,610374,Robeson AA HS,2008,187,187,95,92,NA,NA
regular,609707,Robeson HS,2008,1271,1271,458,465,215,133
regular,609692,Simeon HS,2008,1566,1566,416,332,437,381
regular,609745,Southside Occp HS,2008,223,223,48,80,54,41
regular,609739,"Washington, G. HS",2008,1565,1565,373,538,344,310
regular,610303,AASTA - Orr HS,2008,488,488,127,168,136,57
regular,610301,Big Pict HS - Yards,2008,53,53,NA,NA,25,28
regular,610337,Big Pict HS - Metro,2008,47,47,NA,NA,20,27
regular,610307,BEST HS,2008,317,317,79,123,74,41
regular,610381,Bronzeville HS,2008,358,358,126,121,111,NA
regular,610340,Chicago Acad HS,2008,499,499,152,134,111,102
regular,610309,Chicago Discovery HS,2008,391,391,125,115,87,64
regular,610302,EXCEL - Orr HS,2008,431,431,103,172,95,61
regular,610324,Global Visions HS,2008,330,330,118,74,82,56
regular,610384,Infinity HS,2008,263,263,83,89,91,NA
regular,610385,Multicultural Arts HS,2008,260,260,82,90,88,NA
regular,610323,New Millnm HS,2008,367,367,100,101,94,72
regular,610334,Raby HS,2008,543,543,146,155,116,126
regular,610311,Entrepreneurshp HS,2008,513,513,155,140,121,97
regular,610297,Sch Of Leadrshp HS,2008,441,441,139,156,96,50
regular,610296,Sch Of Tech HS,2008,466,466,126,106,124,110
regular,610310,Sch Of The Arts HS,2008,464,464,130,138,112,84
regular,610383,Sch Of Soc Just HS,2008,271,271,90,96,85,NA
regular,610506,TEAM Englewood HS,2008,139,139,139,NA,NA,NA
regular,610322,Vines Prep HS,2008,456,456,161,117,99,79
regular,610380,Williams HS - Prep Med,2008,228,74,74,NA,NA,NA
regular,610392,World Language HS,2008,245,245,95,78,72,NA
regular,609760,Carver Mil Acad HS,2008,495,495,147,122,127,99
regular,609754,Chicago Mil Acad HS,2008,507,507,159,135,122,91
regular,610502,Marine Mil Acad HS,2008,122,122,122,NA,NA,NA
regular,610304,Phoenix Mil Acad HS,2008,311,311,114,128,33,36
regular,610390,Rickover Naval HS,2008,318,318,131,100,87,NA
regular,609683,Alternative Learning Comm HS,2008,307,243,96,74,44,29
regular,610371,IDOC/Healy South HS,2008,52,52,23,24,5,NA
regular,NA,Jefferson IDOC/Healy,2008,26,26,14,10,2,NA
regular,NA,Jerfferson Ctr/Factory,2008,27,27,12,10,4,1
regular,610388,LINC Alt HS,2008,411,411,160,98,95,58
regular,610386,Peace & Education Alt HS,2008,81,81,15,19,16,31
regular,609748,York Alt HS,2008,299,299,197,62,25,15
charter,400010,ACE Tech Chtr HS,2008,462,462,147,121,100,94
charter,400008,ACT Chtr HS,2008,296,224,78,70,52,24
charter,400015,ASPIRA Chrtr - Ramirez,2008,299,299,95,88,67,49
charter,400013,ASPIRA Chrtr - Early College,2008,208,208,208,NA,NA,NA
charter,400032,Chgo Intl Chrt - Ellison,2008,263,263,137,126,NA,NA
charter,400033,Chgo Intl Chrt - Longwood,2008,1465,404,121,125,97,61
charter,400034,Chgo Intl Chrt - Northtown,2008,758,757,264,226,128,139
charter,400035,Chgo Math/Sci Chtr,2008,388,169,71,63,35,NA
charter,400036,Chicago Virtual Chtr,2008,381,17,17,NA,NA,NA
charter,400053,Noble St. Chrtr HS - Golder,2008,130,130,130,NA,NA,NA
charter,400054,Noble St. Chrtr HS - Prtizker,2008,287,287,160,127,NA,NA
charter,400055,Noble St. Chrtr HS - Rauner,2008,280,280,150,130,NA,NA
charter,400056,Noble St. Chrtr HS - Clark,2008,129,129,129,NA,NA,NA
charter,400051,Noble St. Chrtr HS,2008,505,505,157,124,116,108
charter,400058,North Lawndale Chrtr,2008,382,382,85,110,97,90
charter,400059,Nth Lawndale Chtr - Collins,2008,81,81,81,NA,NA,NA
charter,400062,Perspectives Chrtr - Cal Tech,2008,176,176,128,48,NA,NA
charter,400064,Perspectives Chrtr HS,2008,354,196,53,46,46,51
charter,400061,Perspectives Chrtr - Calumet,2008,223,223,128,95,NA,NA
charter,400073,Shabazz Chrtr - DuSable,2008,270,270,103,88,79,NA
charter,400077,U Of Chicago Chtr HS,2008,302,207,103,104,NA,NA
charter,400086,Urban Prep Chtr HS,2008,265,265,129,136,NA,NA
charter,400087,Yng Women Ldrshp Chrt,2008,339,249,69,71,65,44
charter,609686,Youth Connctns Chrtr,2008,2842,2842,502,881,633,826
charter,400018,Austin Bus & Entrp HS,2008,295,295,100,195,NA,NA
charter,400070,Prologue Early College HS,2008,173,173,58,55,25,35
regular,609679,Prosser HS,2009,1434,1434,406,355,346,327
regular,609691,North-Grand HS,2009,929,929,256,246,221,206
regular,609695,Amundsen HS,2009,1543,1543,406,645,227,265
regular,609708,Foreman HS,2009,1961,1961,704,515,399,343
regular,609716,Kelvyn Park HS,2009,1480,1480,429,382,339,330
regular,609719,Lake View HS,2009,1610,1610,407,467,398,338
regular,609720,Lane Tech HS,2009,4194,4194,1135,1039,1015,1005
regular,609724,Mather HS,2009,1630,1630,425,440,383,382
regular,609728,Roosevelt HS,2009,1559,1559,361,543,361,294
regular,609729,Schurz HS,2009,2156,2156,612,780,377,387
regular,609730,Senn HS,2009,1155,1155,406,271,253,225
regular,609732,Steinmetz HS,2009,1910,1910,512,640,410,348
regular,609733,Sullivan HS,2009,774,774,288,179,131,176
regular,609734,Taft HS,2009,2605,2397,741,634,535,487
regular,609737,Von Steuben HS,2009,1612,1612,475,539,344,254
regular,609738,Lincoln Park HS,2009,2175,2175,610,567,504,494
regular,609744,Northside Lrn Ctr HS,2009,307,307,44,83,50,130
regular,609749,Northside CPHS,2009,1073,1073,258,305,253,257
regular,609766,Vaughn Occp HS,2009,215,215,46,47,48,74
regular,610394,Uplift Community HS,2009,558,469,145,131,109,84
regular,610402,DeVry Advantage HS,2009,197,197,NA,NA,108,89
regular,610377,Senn AA HS,2009,71,71,45,26,NA,NA
regular,610370,Best Practice HS,2009,238,238,49,73,53,63
regular,610499,Collins Acad HS,2009,241,241,118,123,NA,NA
regular,609678,Jones CPHS,2009,739,739,214,204,171,150
regular,610501,Austin Polytech HS,2009,258,258,130,128,NA,NA
regular,609680,Payton CPHS,2009,875,875,234,258,165,218
regular,609702,Crane Tech HS,2009,666,666,119,191,158,198
regular,609722,Manley HS,2009,1058,1058,275,301,283,199
regular,609723,Marshall HS,2009,1205,1205,365,323,312,205
regular,609740,Wells HS,2009,681,681,133,160,198,190
regular,609750,Simpson HS,2009,167,155,50,35,51,19
regular,609755,Young Magnet HS,2009,2259,2025,502,551,492,480
regular,609759,Clemente HS,2009,1858,1858,564,443,498,353
regular,609763,Collins HS,2009,151,151,NA,NA,NA,151
regular,609764,Juarez HS,2009,1560,1560,514,431,321,294
regular,609783,"Jefferson, N",2009,370,319,141,125,45,8
